storeId;orderDate;orderId;receiptType;lineNumber;transactionReasonCode;status;salesAssociateid;itemInstanceId;lineType;barcode;currency;unitPrice;itemId;quantity;deliveryType;itemSKU;lineTotal;lineDiscount;lineTaxAmount;customerExternalId;customerId
B0502-TEST;1644829200;RPB0502-TEST7565370000000000000;Sale;2;;Closed;XXXXX;73468446;Sale;73468446;AED;1620000;20089285;1;CarryOut;73468446;1312200;307800;0;CE847982-3A8E-EC11-80F3-000D3A2436CD;CE847982-3A8E-EC11-80F3-000D3A2436CD
B0502-TEST;1673427600;RPB0502-TEST8819530000000000000;Sale;1;;Closed;XXXXX;73699391;Sale;73699391;AED;770000;20089294;1;CarryOut;73699391;616000;154000;0;BCFD5C74-7A18-ED11-80F7-000D3A2436CD;BCFD5C74-7A18-ED11-80F7-000D3A2436CD
B0502-TEST;1677574800;RPB0502-TEST8998030000000000000;Sale;1;;Closed;XXXXX;73631049;Sale;73631049;AED;1017000;20089531;1;CarryOut;73631049;915000;102000;0;FA471A6D-17DE-ED11-80FC-000D3A2436CD;FA471A6D-17DE-ED11-80FC-000D3A2436CD
B0502-TEST;1672477200;RPB0502-TEST8778350000000000000;Sale;1;;Closed;XXXXX;73466067;Sale;73466067;AED;946000;20089650;1;CarryOut;73466067;946000;0;0;558A536D-408B-ED11-80FA-000D3A2436CD;558A536D-408B-ED11-80FA-000D3A2436CD
B0502-TEST;1679216400;RPB0502-TEST9078640000000000000;Sale;1;;Closed;XXXXX;73704610;Sale;73704610;AED;946000;20089650;1;CarryOut;73704610;900000;46000;0;943CE5D4-1ADE-ED11-80FC-000D3A2436CD;943CE5D4-1ADE-ED11-80FC-000D3A2436CD
B0502-TEST;1624266000;RPB0502-TEST6670800000000000000;Return;1;;Closed;XXXXX;73455869;Return;73455869;AED;2986000;81089105;-1;CarryOut;73455869;-2986000;0;0;734D8A3F-09C9-EB11-80EC-000D3A2436CD;734D8A3F-09C9-EB11-80EC-000D3A2436CD
B0502-TEST;1623056400;RPB0502-TEST6618140000000000000;Sale;1;;Closed;XXXXX;73455869;Sale;73455869;AED;2986000;81089105;1;CarryOut;73455869;2986000;0;0;734D8A3F-09C9-EB11-80EC-000D3A2436CD;734D8A3F-09C9-EB11-80EC-000D3A2436CD
B0502-TEST;1735030800;RPB0502-TEST-6934080000000000000;Sale;1;;Closed;XXXXX;73455870;Sale;73455870;AED;2986000;81089106;1;CarryOut;73455870;2776000;210000;0;7E288A53-92C2-EF11-810B-000D3A2436CD;7E288A53-92C2-EF11-810B-000D3A2436CD
B0502-TEST;1623402000;RPB0502-TEST6633790000000000000;Sale;1;;Closed;XXXXX;73461902;Sale;73461902;AED;1090000;81089972;1;CarryOut;73461902;1090000;0;0;EDA5F609-A15C-EB11-80E9-000D3A2436CD;EDA5F609-A15C-EB11-80E9-000D3A2436CD
B0502-TEST;1641459600;RPB0502-TEST7419640000000000000;Sale;1;;Closed;XXXXX;73466116;Sale;73466116;AED;116000000;81090192;1;CarryOut;73466116;92800000;23200000;0;5627B47F-646C-EC11-80F8-000D3A239D68;5627B47F-646C-EC11-80F8-000D3A239D68
B0502-TEST;1738832400;RPB0502-TEST-6770680000000000000;Sale;1;;Closed;XXXXX;73860391;Sale;73860391;KRW;330000;31506582;1;CarryOut;73860391;0;330000;0;7B150C26-26E5-EF11-810B-000D3A2436CD;7B150C26-26E5-EF11-810B-000D3A2436CD
B0502-TEST;1732266000;RPB0502-TEST-7055320000000000000;Sale;1;;Closed;XXXXX;73860385;Sale;73860385;AED;387000;31506598;1;CarryOut;73860385;0;387000;0;E27CF071-74A9-EF11-810A-000D3A2436CD;E27CF071-74A9-EF11-810A-000D3A2436CD
